"subject" "activity" "variable" "mean" "sd"
"49" 1 "laying" "fBodyAccJerkMeanZ" -0.9480609042 0.0991145249006038
"50" 1 "laying" "fBodyAccJerkStdX" -0.9641607086 0.0643423470345477
"51" 1 "laying" "fBodyAccJerkStdY" -0.9322178704 0.144939740881557
"52" 1 "laying" "fBodyAccJerkStdZ" -0.9605869872 0.0769552497419572
"53" 1 "laying" "fBodyGyroMeanX" -0.850249174586 0.286676168602949
"54" 1 "laying" "fBodyGyroMeanY" -0.9521914948 0.0893628814382206
"55" 1 "laying" "fBodyGyroMeanZ" -0.909302721 0.138858313314505
"56" 1 "laying" "fBodyGyroStdX" -0.8822964508 0.218188910209093
"57" 1 "laying" "fBodyGyroStdY" -0.9512320494 0.0869265794617323
"58" 1 "laying" "fBodyGyroStdZ" -0.9165825082 0.12460690725965
"59" 1 "laying" "fBodyAccMagMean" -0.8617676481 0.233434201915736
"60" 1 "laying" "fBodyAccMagStd" -0.7983009404 0.346392256321311
"61" 1 "laying" "fBodyBodyAccJerkMagMean" -0.9333003608 0.14377470775517
"62" 1 "laying" "fBodyBodyAccJerkMagStd" -0.9218039756 0.165389919138589
"63" 1 "laying" "fBodyBodyGyroMagMean" -0.8621901854 0.254239237664846
"64" 1 "laying" "fBodyBodyGyroMagStd" -0.82431943968 0.301767298073151
"65" 1 "laying" "fBodyBodyGyroJerkMagMean" -0.9423669466 0.119468403673657
"66" 1 "laying" "fBodyBodyGyroJerkMagStd" -0.9326606676 0.139997579985082
"67" 1 "sitting" "tBodyAccMeanX" 0.261237565425532 0.063329656530637
"68" 1 "sitting" "tBodyAccMeanY" -0.00130828765170213 0.0474652969368653
"69" 1 "sitting" "tBodyAccMeanZ" -0.104544182255319 0.042159411754971
"70" 1 "sitting" "tBodyAccStdX" -0.977229008297872 0.0516968225656247
"71" 1 "sitting" "tBodyAccStdY" -0.922618641914894 0.151866471015858
"72" 1 "sitting" "tBodyAccStdZ" -0.93958629106383 0.138360678594562
"73" 1 "sitting" "tGravityAccMeanX" 0.831509933404255 0.0906413306571272
"74" 1 "sitting" "tGravityAccMeanY" 0.204411592680851 0.111323223138669
"75" 1 "sitting" "tGravityAccMeanZ" 0.332043702765957 0.0699070674840087
"76" 1 "sitting" "tGravityAccStdX" -0.968457145744681 0.0717975256802739
"77" 1 "sitting" "tGravityAccStdY" -0.935517055957447 0.138009139765149
"78" 1 "sitting" "tGravityAccStdZ" -0.949040933191489 0.11922465321138
"79" 1 "sitting" "tBodyAccJerkMeanX" 0.0774825199574468 0.0238811102004555
"80" 1 "sitting" "tBodyAccJerkMeanY" -0.000619102785106384 0.070655689575854
"81" 1 "sitting" "tBodyAccJerkMeanZ" -0.00336779235021277 0.0747884781228963
"82" 1 "sitting" "tBodyAccJerkStdX" -0.986430711276596 0.0271963018681045
"83" 1 "sitting" "tBodyAccJerkStdY" -0.981371965319149 0.0303431600948287
"84" 1 "sitting" "tBodyAccJerkStdZ" -0.987910804468085 0.0192855192609476
"85" 1 "sitting" "tBodyGyroMeanX" -0.045350056512766 0.0462953508520778
"86" 1 "sitting" "tBodyGyroMeanY" -0.0919241549361702 0.0618032467741921
"87" 1 "sitting" "tBodyGyroMeanZ" 0.0629313811914894 0.183488028344994
"88" 1 "sitting" "tBodyGyroStdX" -0.977211283191489 0.0566157567537954
"89" 1 "sitting" "tBodyGyroStdY" -0.966473895319149 0.101985327501179
"90" 1 "sitting" "tBodyGyroStdZ" -0.941425920851064 0.102463356368492
"91" 1 "sitting" "tBodyGyroJerkMeanX" -0.0936793807234043 0.0222287337499355
"92" 1 "sitting" "tBodyGyroJerkMeanY" -0.0402118124255319 0.0136387214224945
"93" 1 "sitting" "tBodyGyroJerkMeanZ" -0.046702627 0.0390561155414156
"94" 1 "sitting" "tBodyGyroJerkStdX" -0.99173159212766 0.0226036303551251
"95" 1 "sitting" "tBodyGyroJerkStdY" -0.989518068510638 0.0245434613647658
"96" 1 "sitting" "tBodyGyroJerkStdZ" -0.987935806382979 0.0296521364534213
"97" 1 "sitting" "tBodyAccMagMean" -0.948536786170213 0.111264720300445
"98" 1 "sitting" "tBodyAccMagStd" -0.927078418723404 0.169979369819598
"99" 1 "sitting" "tGravityAccMagMean" -0.948536786170213 0.111264720300445
"100" 1 "sitting" "tGravityAccMagStd" -0.927078418723404 0.169979369819598
"101" 1 "sitting" "tBodyAccJerkMagMean" -0.987364195531915 0.0229301682998752
"102" 1 "sitting" "tBodyAccJerkMagStd" -0.984120024042553 0.0361713543423634
"103" 1 "sitting" "tBodyGyroMagMean" -0.93089249 0.108769383221595
"104" 1 "sitting" "tBodyGyroMagStd" -0.934531840425532 0.142195681673132
"105" 1 "sitting" "tBodyGyroJerkMagMean" -0.991976341276596 0.0197986965988689
"106" 1 "sitting" "tBodyGyroJerkMagStd" -0.988308728510638 0.0323051405669414
"107" 1 "sitting" "fBodyAccMeanX" -0.979641238723404 0.0437360540580442
"108" 1 "sitting" "fBodyAccMeanY" -0.944084550425532 0.10659545178358
"109" 1 "sitting" "fBodyAccMeanZ" -0.959184889148936 0.0903325248881366
"110" 1 "sitting" "fBodyAccStdX" -0.976412313191489 0.0546722179136088
"111" 1 "sitting" "fBodyAccStdY" -0.917275006382979 0.16198116438308
"112" 1 "sitting" "fBodyAccStdZ" -0.934469558085106 0.150284254131327
"113" 1 "sitting" "fBodyAccJerkMeanX" -0.986597022553191 0.0265764147002996
"114" 1 "sitting" "fBodyAccJerkMeanY" -0.981579467021277 0.0295349250993363
"115" 1 "sitting" "fBodyAccJerkMeanZ" -0.986053092340425 0.02033488659766
"116" 1 "sitting" "fBodyAccJerkStdX" -0.987492994468085 0.0254586546040459
"117" 1 "sitting" "fBodyAccJerkStdY" -0.982513909574468 0.029224342714353
"118" 1 "sitting" "fBodyAccJerkStdZ" -0.988339184893617 0.018362591849997
"119" 1 "sitting" "fBodyGyroMeanX" -0.976161464042553 0.0517698386973124
"120" 1 "sitting" "fBodyGyroMeanY" -0.975838585319149 0.0620491424301355
"121" 1 "sitting" "fBodyGyroMeanZ" -0.951315544468085 0.0773584017185284
"122" 1 "sitting" "fBodyGyroStdX" -0.977904227021277 0.0571134791524308
"123" 1 "sitting" "fBodyGyroStdY" -0.962345042553192 0.119660771313782
"124" 1 "sitting" "fBodyGyroStdZ" -0.94391784106383 0.100243986911749
"125" 1 "sitting" "fBodyAccMagMean" -0.947782922553192 0.116193577666337
"126" 1 "sitting" "fBodyAccMagStd" -0.928444801702128 0.167386175594003
"127" 1 "sitting" "fBodyBodyAccJerkMagMean" -0.985262126808511 0.030538634160806
"128" 1 "sitting" "fBodyBodyAccJerkMagStd" -0.981606177446808 0.0425296404355274
"129" 1 "sitting" "fBodyBodyGyroMagMean" -0.958435589361702 0.0795250162790184
"130" 1 "sitting" "fBodyBodyGyroMagStd" -0.932198374893617 0.151474370761677
"131" 1 "sitting" "fBodyBodyGyroJerkMagMean" -0.989797547234043 0.0263902686757345
"132" 1 "sitting" "fBodyBodyGyroJerkMagStd" -0.987049617234043 0.0367228322918592
"133" 1 "standing" "tBodyAccMeanX" 0.278917629056604 0.00799182813175176
"134" 1 "standing" "tBodyAccMeanY" -0.0161375901037736 0.0109082121968311
"135" 1 "standing" "tBodyAccMeanZ" -0.110601817735849 0.0131675870576672
"136" 1 "standing" "tBodyAccStdX" -0.995759901509434 0.0052741393229331
"137" 1 "standing" "tBodyAccStdY" -0.973190056415094 0.0363316416378927
"138" 1 "standing" "tBodyAccStdZ" -0.979775876981132 0.0274481084909406
"139" 1 "standing" "tGravityAccMeanX" 0.942952000377358 0.0190984089958694
"140" 1 "standing" "tGravityAccMeanY" -0.272983832264151 0.0821744588679097
"141" 1 "standing" "tGravityAccMeanZ" 0.0134905823226415 0.0504825294994186
"142" 1 "standing" "tGravityAccStdX" -0.99376298509434 0.0135877008820328
"143" 1 "standing" "tGravityAccStdY" -0.981225957924528 0.035672318716106
"144" 1 "standing" "tGravityAccStdZ" -0.976324063584906 0.034253361354175
"145" 1 "standing" "tBodyAccJerkMeanX" 0.0753766542264151 0.00432309807866502
"146" 1 "standing" "tBodyAccJerkMeanY" 0.00797573092830189 0.0185697940585478
"147" 1 "standing" "tBodyAccJerkMeanZ" -0.00368524954709434 0.0183762503594898
"148" 1 "standing" "tBodyAccJerkStdX" -0.994604542264151 0.00265311293352562
"149" 1 "standing" "tBodyAccJerkStdY" -0.98564873245283 0.00766084519819399
"150" 1 "standing" "tBodyAccJerkStdZ" -0.992251177358491 0.00326932508283739
"151" 1 "standing" "tBodyGyroMeanX" -0.0239877347979245 0.0100028114531987
"152" 1 "standing" "tBodyGyroMeanY" -0.0593972209811321 0.052948579326845
"153" 1 "standing" "tBodyGyroMeanZ" 0.074800751 0.058163756468635
"154" 1 "standing" "tBodyGyroStdX" -0.987191946603774 0.0103298022081838
"155" 1 "standing" "tBodyGyroStdY" -0.98773444 0.013655140340498
"156" 1 "standing" "tBodyGyroStdZ" -0.980645626981132 0.0240492537828287
"157" 1 "standing" "tBodyGyroJerkMeanX" -0.0996092129056604 0.00699169016576279
"158" 1 "standing" "tBodyGyroJerkMeanY" -0.0440627877924528 0.0103484059836235
"159" 1 "standing" "tBodyGyroJerkMeanZ" -0.0489505466716981 0.0162643635130966
"160" 1 "standing" "tBodyGyroJerkStdX" -0.992945106981132 0.0041384711467329
"161" 1 "standing" "tBodyGyroJerkStdY" -0.995137917358491 0.00421493661279655
"162" 1 "standing" "tBodyGyroJerkStdZ" -0.992108467169811 0.00704788101773433
"163" 1 "standing" "tBodyAccMagMean" -0.984278207358491 0.0223332713027152
"164" 1 "standing" "tBodyAccMagStd" -0.981942928867925 0.0320196532247759
"165" 1 "standing" "tGravityAccMagMean" -0.984278207358491 0.0223332713027152
"166" 1 "standing" "tGravityAccMagStd" -0.981942928867925 0.0320196532247759
"167" 1 "standing" "tBodyAccJerkMagMean" -0.992367790566038 0.00369757377937855
"168" 1 "standing" "tBodyAccJerkMagStd" -0.993096209433962 0.00507947462685607
"169" 1 "standing" "tBodyGyroMagMean" -0.976493792830189 0.0335271043359689
"170" 1 "standing" "tBodyGyroMagStd" -0.978690028679245 0.0281985416367829
"171" 1 "standing" "tBodyGyroJerkMagMean" -0.994966790566038 0.003972221007654
"172" 1 "standing" "tBodyGyroJerkMagStd" -0.994733238679245 0.00538055069862135
"173" 1 "standing" "fBodyAccMeanX" -0.995249932641509 0.00409563635523935
"174" 1 "standing" "fBodyAccMeanY" -0.977070847735849 0.0222654108309828
"175" 1 "standing" "fBodyAccMeanZ" -0.985297098679245 0.0147916362346534
"176" 1 "standing" "fBodyAccStdX" -0.99602834509434 0.0058141341210105
"177" 1 "standing" "fBodyAccStdY" -0.972293102075472 0.0401256474317743
"178" 1 "standing" "fBodyAccStdZ" -0.977937259622642 0.0315309907696867
"179" 1 "standing" "fBodyAccJerkMeanX" -0.994630797358491 0.00267712894948197
"180" 1 "standing" "fBodyAccJerkMeanY" -0.985418704528302 0.00759252928839608
"181" 1 "standing" "fBodyAccJerkMeanZ" -0.990752166037736 0.0038549155228848
"182" 1 "standing" "fBodyAccJerkStdX" -0.995073759245283 0.00252346271734194
"183" 1 "standing" "fBodyAccJerkStdY" -0.987018226792453 0.00728631688451156
"184" 1 "standing" "fBodyAccJerkStdZ" -0.992349818113208 0.00308126634948512
"185" 1 "standing" "fBodyGyroMeanX" -0.986386786037736 0.00969471921696676
"186" 1 "standing" "fBodyGyroMeanY" -0.988984455849057 0.0118421460390261
"187" 1 "standing" "fBodyGyroMeanZ" -0.980773122830189 0.0224089382476914
"188" 1 "standing" "fBodyGyroStdX" -0.987497128679245 0.0104573390412713
"189" 1 "standing" "fBodyGyroStdY" -0.987107727735849 0.0147179058997417
"190" 1 "standing" "fBodyGyroStdZ" -0.98234533 0.0224991647382855
"191" 1 "standing" "fBodyAccMagMean" -0.985356361132075 0.0199363067413618
"192" 1 "standing" "fBodyAccMagStd" -0.982313804716981 0.0325772441177905
"193" 1 "standing" "fBodyBodyAccJerkMagMean" -0.99254247754717 0.00541951560706372
"194" 1 "standing" "fBodyBodyAccJerkMagStd" -0.992536003396226 0.00472695392108994
"195" 1 "standing" "fBodyBodyGyroMagMean" -0.984617623396226 0.0198629330172224
"196" 1 "standing" "fBodyBodyGyroMagStd" -0.978466072075472 0.028510816312114
"197" 1 "standing" "fBodyBodyGyroJerkMagMean" -0.994815376981132 0.00490413143335745
"198" 1 "standing" "fBodyBodyGyroJerkMagStd" -0.994671123207547 0.0057246066619768
"199" 1 "walking" "tBodyAccMeanX" 0.277330758736842 0.0463917265678392
"200" 1 "walking" "tBodyAccMeanY" -0.0173838185273684 0.0181866836950471
"201" 1 "walking" "tBodyAccMeanZ" -0.111148103547368 0.0408369906224344
"202" 1 "walking" "tBodyAccStdX" -0.283740258842105 0.067978132739783
"203" 1 "walking" "tBodyAccStdY" 0.114461336747368 0.0871784521583147
"204" 1 "walking" "tBodyAccStdZ" -0.260027902210526 0.0620301284304812
"205" 1 "walking" "tGravityAccMeanX" 0.935223201473684 0.0134134819282931
"206" 1 "walking" "tGravityAccMeanY" -0.282165021263158 0.0289640592722
"207" 1 "walking" "tGravityAccMeanZ" -0.068102864 0.0422371049270371
"208" 1 "walking" "tGravityAccStdX" -0.976609642526316 0.0130926333374786
"209" 1 "walking" "tGravityAccStdY" -0.971305961473684 0.017857276473091
"210" 1 "walking" "tGravityAccStdZ" -0.947717226105263 0.0446498006525058
"211" 1 "walking" "tBodyAccJerkMeanX" 0.0740416333157895 0.221131772947477
"212" 1 "walking" "tBodyAccJerkMeanY" 0.0282721095884211 0.294065350040817
"213" 1 "walking" "tBodyAccJerkMeanZ" -0.00416840617789474 0.233961712397385
"214" 1 "walking" "tBodyAccJerkStdX" -0.113615602435789 0.0917561646703615
"215" 1 "walking" "tBodyAccJerkStdY" 0.0670025007684211 0.104032657586352
"216" 1 "walking" "tBodyAccJerkStdZ" -0.502699788526316 0.0654666114033403
"217" 1 "walking" "tBodyGyroMeanX" -0.041830963526 0.116512536439035
"218" 1 "walking" "tBodyGyroMeanY" -0.0695300462115789 0.11808862465242
"219" 1 "walking" "tBodyGyroMeanZ" 0.0849448173042105 0.0585558929547111
"220" 1 "walking" "tBodyGyroStdX" -0.473535485894737 0.0567905427488851
"221" 1 "walking" "tBodyGyroStdY" -0.0546077686594737 0.0720805680399914
"222" 1 "walking" "tBodyGyroStdZ" -0.344266629473684 0.05234188186092
"223" 1 "walking" "tBodyGyroJerkMeanX" -0.0899975423705263 0.155820871636066
"224" 1 "walking" "tBodyGyroJerkMeanY" -0.0398428709463158 0.247081095919738
"225" 1 "walking" "tBodyGyroJerkMeanZ" -0.0461309295021053 0.173943679946743
"226" 1 "walking" "tBodyGyroJerkStdX" -0.207421854757895 0.0672704025581217
"227" 1 "walking" "tBodyGyroJerkStdY" -0.304468510631579 0.0953799072079242
"228" 1 "walking" "tBodyGyroJerkStdZ" -0.404255452631579 0.0625350967913019
"229" 1 "walking" "tBodyAccMagMean" -0.136971176556842 0.063784810935591
"230" 1 "walking" "tBodyAccMagStd" -0.219688645631579 0.0560365565162432
"231" 1 "walking" "tGravityAccMagMean" -0.136971176556842 0.063784810935591
"232" 1 "walking" "tGravityAccMagStd" -0.219688645631579 0.0560365565162432
"233" 1 "walking" "tBodyAccJerkMagMean" -0.141428809031579 0.0717811807368844
"234" 1 "walking" "tBodyAccJerkMagStd" -0.0744717500625263 0.113768706577626
"235" 1 "walking" "tBodyGyroMagMean" -0.160979552536842 0.0729706576885009
"236" 1 "walking" "tBodyGyroMagStd" -0.186978364526316 0.0653642913343777
"237" 1 "walking" "tBodyGyroJerkMagMean" -0.298703679084211 0.0708218772473022
"238" 1 "walking" "tBodyGyroJerkMagStd" -0.325324878894737 0.091757559694167
"239" 1 "walking" "fBodyAccMeanX" -0.202794306326316 0.0703498138191057
"240" 1 "walking" "fBodyAccMeanY" 0.0897127264021053 0.10176731951975
"241" 1 "walking" "fBodyAccMeanZ" -0.331560117789474 0.06409743064324
"242" 1 "walking" "fBodyAccStdX" -0.319134719578947 0.075946531499396
"243" 1 "walking" "fBodyAccStdY" 0.056040006846 0.0870485792231659
"244" 1 "walking" "fBodyAccStdZ" -0.279686751494737 0.0666827806208188
"245" 1 "walking" "fBodyAccJerkMeanX" -0.170546964549579 0.0865625087450982
"246" 1 "walking" "fBodyAccJerkMeanY" -0.0352255241130632 0.106194658088035
"247" 1 "walking" "fBodyAccJerkMeanZ" -0.468999224631579 0.0653111670481718
"248" 1 "walking" "fBodyAccJerkStdX" -0.133586606326316 0.102406184682404
"249" 1 "walking" "fBodyAccJerkStdY" 0.106739857136 0.111077436067163
"250" 1 "walking" "fBodyAccJerkStdZ" -0.534713440421053 0.0730309432982119
"251" 1 "walking" "fBodyGyroMeanX" -0.339032197115789 0.0754380093200376
"252" 1 "walking" "fBodyGyroMeanY" -0.103059416434737 0.0890381031540795
"253" 1 "walking" "fBodyGyroMeanZ" -0.255940940315789 0.0695844833886815
"254" 1 "walking" "fBodyGyroStdX" -0.516691938736842 0.0552428186234544
"255" 1 "walking" "fBodyGyroStdY" -0.0335081597884211 0.0734451978487024
"256" 1 "walking" "fBodyGyroStdZ" -0.436562227473684 0.0490663874324954
"257" 1 "walking" "fBodyAccMagMean" -0.128623450629474 0.0766851159939003
"258" 1 "walking" "fBodyAccMagStd" -0.398032586842105 0.0425928325706612
"259" 1 "walking" "fBodyBodyAccJerkMagMean" -0.0571194000343158 0.118325987935412
"260" 1 "walking" "fBodyBodyAccJerkMagStd" -0.103492403002105 0.122148127646665
"261" 1 "walking" "fBodyBodyGyroMagMean" -0.199252568986316 0.0839506340462988
"262" 1 "walking" "fBodyBodyGyroMagStd" -0.321017953894737 0.0503532526972754
"263" 1 "walking" "fBodyBodyGyroJerkMagMean" -0.319308593778947 0.092577203978068
"264" 1 "walking" "fBodyBodyGyroJerkMagStd" -0.381601911789474 0.0922725193291038
"265" 1 "walkingDownstairs" "tBodyAccMeanX" 0.289188320408163 0.084156487553055
"266" 1 "walkingDownstairs" "tBodyAccMeanY" -0.00991850461020408 0.0258222216993833
"267" 1 "walkingDownstairs" "tBodyAccMeanZ" -0.107566190908163 0.0569332274766584
"268" 1 "walkingDownstairs" "tBodyAccStdX" 0.0300353383483878 0.0932064414062366
"269" 1 "walkingDownstairs" "tBodyAccStdY" -0.0319359434489796 0.155150625438384
"270" 1 "walkingDownstairs" "tBodyAccStdZ" -0.230434213204082 0.0844507786909177
"271" 1 "walkingDownstairs" "tGravityAccMeanX" 0.931874418979592 0.0137107920733771
"272" 1 "walkingDownstairs" "tGravityAccMeanY" -0.266610338979592 0.0280777453303014
"273" 1 "walkingDownstairs" "tGravityAccMeanZ" -0.0621199585938775 0.0377201475716632
"274" 1 "walkingDownstairs" "tGravityAccStdX" -0.950559811632653 0.0236063317974897
"275" 1 "walkingDownstairs" "tGravityAccStdY" -0.937018658979592 0.0329676513955834
"276" 1 "walkingDownstairs" "tGravityAccStdZ" -0.895939695102041 0.0392019249925292
"277" 1 "walkingDownstairs" "tBodyAccJerkMeanX" 0.0541553164897959 0.400760112023956
"278" 1 "walkingDownstairs" "tBodyAccJerkMeanY" 0.0296504490408163 0.209633947041423
"279" 1 "walkingDownstairs" "tBodyAccJerkMeanZ" -0.0109719730183673 0.268001030166845
"280" 1 "walkingDownstairs" "tBodyAccJerkStdX" -0.012283860544898 0.0929504365068902
"281" 1 "walkingDownstairs" "tBodyAccJerkStdY" -0.101601390640816 0.144263054472233
"282" 1 "walkingDownstairs" "tBodyAccJerkStdZ" -0.345735032326531 0.111065793215343
"283" 1 "walkingDownstairs" "tBodyGyroMeanX" -0.0350781902989796 0.297498795263906
"284" 1 "walkingDownstairs" "tBodyGyroMeanY" -0.0909371290204082 0.246190033811866
"285" 1 "walkingDownstairs" "tBodyGyroMeanZ" 0.0900850142030612 0.0776911320386308
"286" 1 "walkingDownstairs" "tBodyGyroStdX" -0.458030542938775 0.211440130524507
"287" 1 "walkingDownstairs" "tBodyGyroStdY" -0.126349194938775 0.102042469797377
"288" 1 "walkingDownstairs" "tBodyGyroStdZ" -0.124702454242857 0.0952021564737799
"289" 1 "walkingDownstairs" "tBodyGyroJerkMeanX" -0.0739592036271429 0.217214277614153
"290" 1 "walkingDownstairs" "tBodyGyroJerkMeanY" -0.0439902783367347 0.2387480881851
"291" 1 "walkingDownstairs" "tBodyGyroJerkMeanZ" -0.0270461061061224 0.190732088486772
"292" 1 "walkingDownstairs" "tBodyGyroJerkStdX" -0.487027342244898 0.0953392946381106
"293" 1 "walkingDownstairs" "tBodyGyroJerkStdY" -0.238824827530612 0.140006882069769
"294" 1 "walkingDownstairs" "tBodyGyroJerkStdZ" -0.268761480242857 0.0981257158530943
"295" 1 "walkingDownstairs" "tBodyAccMagMean" 0.0271882914106122 0.082373237710474
"296" 1 "walkingDownstairs" "tBodyAccMagStd" 0.0198843506265306 0.0992213179846552
"297" 1 "walkingDownstairs" "tGravityAccMagMean" 0.0271882914106122 0.082373237710474
"298" 1 "walkingDownstairs" "tGravityAccMagStd" 0.0198843506265306 0.0992213179846552
"299" 1 "walkingDownstairs" "tBodyAccJerkMagMean" -0.0894474807979592 0.0839834763033223
"300" 1 "walkingDownstairs" "tBodyAccJerkMagStd" -0.0257877197081633 0.129663757152448
"301" 1 "walkingDownstairs" "tBodyGyroMagMean" -0.0757412543673469 0.120801095337179
"302" 1 "walkingDownstairs" "tBodyGyroMagStd" -0.225724368061224 0.158422188688195
"303" 1 "walkingDownstairs" "tBodyGyroJerkMagMean" -0.295463843346939 0.0931872320056975
"304" 1 "walkingDownstairs" "tBodyGyroJerkMagStd" -0.306510645530612 0.161656474309502
"305" 1 "walkingDownstairs" "fBodyAccMeanX" 0.0382291831510204 0.119224727611253
"306" 1 "walkingDownstairs" "fBodyAccMeanY" 0.00154990783591837 0.170798561087191
"307" 1 "walkingDownstairs" "fBodyAccMeanZ" -0.225574471693878 0.115551595884004
"308" 1 "walkingDownstairs" "fBodyAccStdX" 0.0243308391387755 0.108457543518206
"309" 1 "walkingDownstairs" "fBodyAccStdY" -0.112963739953061 0.143694798649693
"310" 1 "walkingDownstairs" "fBodyAccStdZ" -0.297927894693878 0.0723421185708391
"311" 1 "walkingDownstairs" "fBodyAccJerkMeanX" -0.0276638676122449 0.101271667591545
"312" 1 "walkingDownstairs" "fBodyAccJerkMeanY" -0.12866715764898 0.139350880732265
"313" 1 "walkingDownstairs" "fBodyAccJerkMeanZ" -0.288334735714286 0.12876086525451
"314" 1 "walkingDownstairs" "fBodyAccJerkStdX" -0.0863278966402041 0.0867093134600627
"315" 1 "walkingDownstairs" "fBodyAccJerkStdY" -0.134580008877551 0.148260152607979
"316" 1 "walkingDownstairs" "fBodyAccJerkStdZ" -0.401721464285714 0.0998658280371304
"317" 1 "walkingDownstairs" "fBodyGyroMeanX" -0.352449631363265 0.183747198943916
"318" 1 "walkingDownstairs" "fBodyGyroMeanY" -0.0557022524693878 0.143103054536205
"319" 1 "walkingDownstairs" "fBodyGyroMeanZ" -0.0318694271979592 0.127897611723808
"320" 1 "walkingDownstairs" "fBodyGyroStdX" -0.495422486102041 0.222769257099178
"321" 1 "walkingDownstairs" "fBodyGyroStdY" -0.181414728657143 0.0879392819594027
"322" 1 "walkingDownstairs" "fBodyGyroStdZ" -0.238443565306122 0.0834934819677785
"323" 1 "walkingDownstairs" "fBodyAccMagMean" 0.0965845343040816 0.110939249130188
"324" 1 "walkingDownstairs" "fBodyAccMagStd" -0.186530301073469 0.095314606738389
"325" 1 "walkingDownstairs" "fBodyBodyAccJerkMagMean" 0.0262184949326531 0.130869480728383
"326" 1 "walkingDownstairs" "fBodyBodyAccJerkMagStd" -0.104052260726531 0.145406657358343
"327" 1 "walkingDownstairs" "fBodyBodyGyroMagMean" -0.185720285744898 0.158148437319055
"328" 1 "walkingDownstairs" "fBodyBodyGyroMagStd" -0.398350390122449 0.148262026154992
